id,label,group,element
acura,ACURA,make,
alfa-romeo,ALFA ROMEO,make,
alpine,ALPINE,make,
ariel,ARIEL,make,
aston-martin,ASTON MARTIN,make,
audi,AUDI,make,
bentley,BENTLEY,make,
bmw,BMW,make,
bufori,BUFORI,make,
bugatti,BUGATTI,make,
buick,BUICK,make,
cadillac,CADILLAC,make,
caterham,CATERHAM,make,
chevrolet,CHEVROLET,make,
chrysler,CHRYSLER,make,
citroen,CITROEN,make,
dacia,DACIA,make,
daihatsu,DAIHATSU,make,
datsun,DATSUN,make,
dodge,DODGE,make,
ferrari,FERRARI,make,
fiat,FIAT,make,
fisker,FISKER,make,
ford,FORD,make,
holden,HOLDEN,make,
honda,HONDA,make,
hyundai,HYUNDAI,make,
ineos,INEOS,make,
infiniti,INFINITI,make,
jaguar,JAGUAR,make,
jeep,JEEP,make,
kia,KIA,make,
koenigsegg,KOENIGSEGG,make,
ktm,KTM,make,
lada,LADA,make,
lamborghini,LAMBORGHINI,make,
lancia,LANCIA,make,
land-rover,LAND ROVER,make,
lexus,LEXUS,make,
lightyear,LIGHTYEAR,make,
lincoln,LINCOLN,make,
lotus,LOTUS,make,
maserati,MASERATI,make,
mazda,MAZDA,make,
mclaren,MCLAREN,make,
mercedes-amg,MERCEDES-AMG,make,
mercedes-benz,MERCEDES BENZ,make,
mg,MG,make,
mini,MINI,make,
mitsubishi,MITSUBISHI,make,
morgan,MORGAN,make,
nio,NIO,make,
nissan,NISSAN,make,
opel,OPEL,make,
pagani,PAGANI,make,
panoz,PANOZ,make,
perodua,PERODUA,make,
peugeot,PEUGEOT,make,
porsche,PORSCHE,make,
renault,RENAULT,make,
rimac,RIMAC,make,
rolls-royce,ROLLS-ROYCE,make,
seat,SEAT,make,
skoda,SKODA,make,
smart,SMART,make,
spyker,SPYKER,make,
subaru,SUBARU,make,
suzuki,SUZUKI,make,
toyota,TOYOTA,make,
tvr,TVR,make,
vauxhall,VAUXHALL,make,
volkswagen,VOLKSWAGEN,make,
volvo,VOLVO,make,
wiesmann,WIESMANN,make,
xpeng,XPENG,make,
zenvo,ZENVO,make,
acuramedium,MEDIUM,size,
acuralarge,LARGE,size,
alfa-romeomedium,MEDIUM,size,
alfa-romeosmall,SMALL,size,
alfa-romeolarge,LARGE,size,
alpinemedium,MEDIUM,size,
arielsmall,SMALL,size,
aston-martinmedium,MEDIUM,size,
aston-martinlarge,LARGE,size,
audilarge,LARGE,size,
audimedium,MEDIUM,size,
audismall,SMALL,size,
bentleylarge,LARGE,size,
bentleymedium,MEDIUM,size,
bmwlarge,LARGE,size,
bmwmedium,MEDIUM,size,
bmwsmall,SMALL,size,
buforimedium,MEDIUM,size,
bugattimedium,MEDIUM,size,
buicksmall,SMALL,size,
buicklarge,LARGE,size,
buickmedium,MEDIUM,size,
cadillaclarge,LARGE,size,
cadillacmedium,MEDIUM,size,
caterhamsmall,SMALL,size,
chevroletlarge,LARGE,size,
chevroletsmall,SMALL,size,
chevroletmedium,MEDIUM,size,
chryslermedium,MEDIUM,size,
citroensmall,SMALL,size,
citroenmedium,MEDIUM,size,
citroenlarge,LARGE,size,
dacialarge,LARGE,size,
daciasmall,SMALL,size,
daciamedium,MEDIUM,size,
daihatsusmall,SMALL,size,
datsunmedium,MEDIUM,size,
dodgelarge,LARGE,size,
dodgemedium,MEDIUM,size,
ferrarimedium,MEDIUM,size,
ferrarilarge,LARGE,size,
fiatsmall,SMALL,size,
fiatlarge,LARGE,size,
fiatmedium,MEDIUM,size,
fiskerlarge,LARGE,size,
fordmedium,MEDIUM,size,
fordlarge,LARGE,size,
fordsmall,SMALL,size,
holdenmedium,MEDIUM,size,
holdenlarge,LARGE,size,
holdensmall,SMALL,size,
hondalarge,LARGE,size,
hondamedium,MEDIUM,size,
hondasmall,SMALL,size,
hyundailarge,LARGE,size,
hyundaimedium,MEDIUM,size,
hyundaismall,SMALL,size,
ineoslarge,LARGE,size,
infinitilarge,LARGE,size,
infinitimedium,MEDIUM,size,
jaguarmedium,MEDIUM,size,
jaguarlarge,LARGE,size,
jeeplarge,LARGE,size,
jeepmedium,MEDIUM,size,
kiasmall,SMALL,size,
kiamedium,MEDIUM,size,
kialarge,LARGE,size,
koenigseggmedium,MEDIUM,size,
ktmmedium,MEDIUM,size,
ladamedium,MEDIUM,size,
ladalarge,LARGE,size,
lamborghinimedium,MEDIUM,size,
lamborghinilarge,LARGE,size,
lanciasmall,SMALL,size,
land-roverlarge,LARGE,size,
lexuslarge,LARGE,size,
lexusmedium,MEDIUM,size,
lightyearmedium,MEDIUM,size,
lincolnlarge,LARGE,size,
lincolnmedium,MEDIUM,size,
lotusmedium,MEDIUM,size,
lotuslarge,LARGE,size,
maseratimedium,MEDIUM,size,
maseratilarge,LARGE,size,
mazdasmall,SMALL,size,
mazdamedium,MEDIUM,size,
mazdalarge,LARGE,size,
mclarenmedium,MEDIUM,size,
mercedes-amgmedium,MEDIUM,size,
mercedes-amglarge,LARGE,size,
mercedes-amgsmall,SMALL,size,
mercedes-benzlarge,LARGE,size,
mercedes-benzmedium,MEDIUM,size,
mglarge,LARGE,size,
mgmedium,MEDIUM,size,
mgsmall,SMALL,size,
minimedium,MEDIUM,size,
minilarge,LARGE,size,
minismall,SMALL,size,
mitsubishilarge,LARGE,size,
mitsubishimedium,MEDIUM,size,
mitsubishismall,SMALL,size,
morganmedium,MEDIUM,size,
niolarge,LARGE,size,
niomedium,MEDIUM,size,
nissanmedium,MEDIUM,size,
nissanlarge,LARGE,size,
nissansmall,SMALL,size,
opelmedium,MEDIUM,size,
opellarge,LARGE,size,
opelsmall,SMALL,size,
paganimedium,MEDIUM,size,
panozmedium,MEDIUM,size,
peroduamedium,MEDIUM,size,
perodualarge,LARGE,size,
peugeotmedium,MEDIUM,size,
peugeotlarge,LARGE,size,
peugeotsmall,SMALL,size,
porschemedium,MEDIUM,size,
porschelarge,LARGE,size,
renaultmedium,MEDIUM,size,
renaultlarge,LARGE,size,
renaultsmall,SMALL,size,
rimacmedium,MEDIUM,size,
rolls-roycemedium,MEDIUM,size,
rolls-roycelarge,LARGE,size,
seatmedium,MEDIUM,size,
seatlarge,LARGE,size,
seatsmall,SMALL,size,
skodamedium,MEDIUM,size,
skodalarge,LARGE,size,
skodasmall,SMALL,size,
smartsmall,SMALL,size,
smartmedium,MEDIUM,size,
spykermedium,MEDIUM,size,
subarularge,LARGE,size,
subarumedium,MEDIUM,size,
suzukimedium,MEDIUM,size,
suzukismall,SMALL,size,
suzukilarge,LARGE,size,
toyotalarge,LARGE,size,
toyotamedium,MEDIUM,size,
toyotasmall,SMALL,size,
tvrmedium,MEDIUM,size,
vauxhalllarge,LARGE,size,
vauxhallsmall,SMALL,size,
vauxhallmedium,MEDIUM,size,
volkswagenmedium,MEDIUM,size,
volkswagensmall,SMALL,size,
volkswagenlarge,LARGE,size,
volvolarge,LARGE,size,
volvomedium,MEDIUM,size,
wiesmannmedium,MEDIUM,size,
xpengmedium,MEDIUM,size,
xpenglarge,LARGE,size,
zenvomedium,MEDIUM,size,
acuramediumwindshield1,sleek cabin,description,windshield
acuramediumgrille1,diamond-shaped,description,grille
acuramediumgrille2,sporty-luxurious,description,grille
acuramediumhood1,longer,description,hood
acuramediumheadlights1,New LED highlits,description,headlights
acuramediumbumper1,tiny foglamps,description,bumper
acuramediumroof1,new sunroof,description,roof
acuramediumgrille3,pentagonal,description,grille
acuramediumgrille4,thinner,description,grille
acuramediumgrille5,chromed,description,grille
acuramediumwheel1,19-inch,description,wheel
acuramediumwheel2,20-inch,description,wheel
acuramediumwheel3,light-alloy,description,wheel
acuramediumwheel4,five-spoke,description,wheel
acuramediumwheel5,ten-spoke,description,wheel
acuramediumwheel6,15-spoke,description,wheel
acuramediumdoors1,rear,description,doors
acuramediumexhaust1,round,description,exhaust
acuramediumexhaust2,rectangular,description,exhaust
acuramediumgrille6,pentagonal shaped,description,grille
acuramediumheadlights2,mimicked angry samurai's eyes,description,headlights
acuramediumheadlights3,LED lamps,description,headlights
acuramediumgrille7,new,description,grille
acuramediumheadlights4,automatic LED,description,headlights
acuramediumwheel7,17-inch,description,wheel
acuramediumwheel8,18-inch,description,wheel
acuramediumdiffusor1,lower,description,diffusor
acuramediumspoiler1,rear,description,spoiler
acuramediumexhaust3,exposed,description,exhaust
acuramediumgrille8,3D pattern,description,grille
acuramediumgrille9,lines,description,grille
acuramediumgrille10,dots,description,grille
acuramediumgrille11,chromed trim,description,grille
acuramediumheadlights5,diamond-inspired,description,headlights
acuramediumheadlights6,LED lamps,description,headlights
acuramediumheadlights7,adaptive lighting,description,headlights
acuramediumbumper2,lower bumper,description,bumper
acuramediumbumper3,side scoops,description,bumper
acuramediumexhaust4,side exhausts,description,exhaust
acuralargewindshield2,sloped,description,windshield
acuralargegrille12,pentagonal-shaped,description,grille
acuralargeheadlights8,LED,description,headlights
acuralargeheadlights9,resembling Integra Type S,description,headlights
acuralargebumper4,sporty,description,bumper
acuralargeroof2,raked-forward,description,roof
acuralargeroof3,with spoiler,description,roof
acuramediumwindshield3,angular,description,windshield
acuramediumgrille13,pentagonal-shaped,description,grille
acuramediumhood2,short,description,hood
acuramediumheadlights10,slim,description,headlights
acuramediumheadlights11,LED,description,headlights
acuramediumroof4,arched,description,roof
acuramediumgrille14,broad,description,grille
acuramediumgrille15,pentagonal,description,grille
acuramediumhood3,vented,description,hood
acuramediumbumper5,angular,description,bumper
