source,target,relationship
acuramediumwindshield,acuramediumwindshield1,has_description
acuramediumgrille,acuramediumgrille1,has_description
acuramediumgrille,acuramediumgrille2,has_description
acuramediumhood,acuramediumhood1,has_description
acuramediumheadlights,acuramediumheadlights1,has_description
acuramediumbumper,acuramediumbumper1,has_description
acuramediumroof,acuramediumroof1,has_description
acuramediumgrille,acuramediumgrille3,has_description
acuramediumgrille,acuramediumgrille4,has_description
acuramediumgrille,acuramediumgrille5,has_description
acuramediumwheel,acuramediumwheel1,has_description
acuramediumwheel,acuramediumwheel2,has_description
acuramediumwheel,acuramediumwheel3,has_description
acuramediumwheel,acuramediumwheel4,has_description
acuramediumwheel,acuramediumwheel5,has_description
acuramediumwheel,acuramediumwheel6,has_description
acuramediumdoors,acuramediumdoors1,has_description
acuramediumexhaust,acuramediumexhaust1,has_description
acuramediumexhaust,acuramediumexhaust2,has_description
acuramediumgrille,acuramediumgrille6,has_description
acuramediumheadlights,acuramediumheadlights2,has_description
acuramediumheadlights,acuramediumheadlights3,has_description
acuramediumgrille,acuramediumgrille7,has_description
acuramediumheadlights,acuramediumheadlights4,has_description
acuramediumwheel,acuramediumwheel7,has_description
acuramediumwheel,acuramediumwheel8,has_description
acuramediumdiffusor,acuramediumdiffusor1,has_description
acuramediumspoiler,acuramediumspoiler1,has_description
acuramediumexhaust,acuramediumexhaust3,has_description
acuramediumgrille,acuramediumgrille8,has_description
acuramediumgrille,acuramediumgrille9,has_description
acuramediumgrille,acuramediumgrille10,has_description
acuramediumgrille,acuramediumgrille11,has_description
acuramediumheadlights,acuramediumheadlights5,has_description
acuramediumheadlights,acuramediumheadlights6,has_description
acuramediumheadlights,acuramediumheadlights7,has_description
acuramediumbumper,acuramediumbumper2,has_description
acuramediumbumper,acuramediumbumper3,has_description
acuramediumexhaust,acuramediumexhaust4,has_description
acuralargewindshield,acuralargewindshield2,has_description
acuralargegrille,acuralargegrille12,has_description
acuralargeheadlights,acuralargeheadlights8,has_description
acuralargeheadlights,acuralargeheadlights9,has_description
acuralargebumper,acuralargebumper4,has_description
