source,target,relationship,weight
aggressive,acura,has_value,0.478
powerful,acura,has_value,0.241
dynamic,acura,has_value,0.166
sporty,acura,has_value,0.104
modern,acura,has_value,0.006
friendly,acura,has_value,0.003
elegant,acura,has_value,0.001
stable,acura,has_value,0.001
aggressive,alfa-romeo,has_value,0.396
powerful,alfa-romeo,has_value,0.266
sporty,alfa-romeo,has_value,0.173
modern,alfa-romeo,has_value,0.077
elegant,alfa-romeo,has_value,0.053
dynamic,alfa-romeo,has_value,0.028
stable,alfa-romeo,has_value,0.005
friendly,alfa-romeo,has_value,0.003
sporty,alpine,has_value,0.650
powerful,alpine,has_value,0.205
aggressive,alpine,has_value,0.080
dynamic,alpine,has_value,0.055
modern,alpine,has_value,0.003
elegant,alpine,has_value,0.002
stable,alpine,has_value,0.002
friendly,alpine,has_value,0.002
sporty,ariel,has_value,0.707
dynamic,ariel,has_value,0.111
elegant,ariel,has_value,0.098
powerful,ariel,has_value,0.068
aggressive,ariel,has_value,0.009
friendly,ariel,has_value,0.003
modern,ariel,has_value,0.003
stable,ariel,has_value,0.001
powerful,aston-martin,has_value,0.363
aggressive,aston-martin,has_value,0.204
elegant,aston-martin,has_value,0.179
sporty,aston-martin,has_value,0.125
dynamic,aston-martin,has_value,0.099
modern,aston-martin,has_value,0.022
stable,aston-martin,has_value,0.004
friendly,aston-martin,has_value,0.003
aggressive,audi,has_value,0.294
elegant,audi,has_value,0.224
powerful,audi,has_value,0.144
modern,audi,has_value,0.143
dynamic,audi,has_value,0.094
sporty,audi,has_value,0.063
friendly,audi,has_value,0.029
stable,audi,has_value,0.010
sporty,bentley,has_value,0.335
aggressive,bentley,has_value,0.258
powerful,bentley,has_value,0.135
elegant,bentley,has_value,0.093
dynamic,bentley,has_value,0.088
modern,bentley,has_value,0.079
stable,bentley,has_value,0.007
friendly,bentley,has_value,0.005
dynamic,bmw,has_value,0.299
powerful,bmw,has_value,0.225
sporty,bmw,has_value,0.211
modern,bmw,has_value,0.142
elegant,bmw,has_value,0.063
aggressive,bmw,has_value,0.044
friendly,bmw,has_value,0.008
stable,bmw,has_value,0.006
elegant,bufori,has_value,0.649
powerful,bufori,has_value,0.260
dynamic,bufori,has_value,0.071
stable,bufori,has_value,0.007
friendly,bufori,has_value,0.004
modern,bufori,has_value,0.004
aggressive,bufori,has_value,0.003
sporty,bufori,has_value,0.001
powerful,bugatti,has_value,0.446
modern,bugatti,has_value,0.317
aggressive,bugatti,has_value,0.110
elegant,bugatti,has_value,0.061
dynamic,bugatti,has_value,0.040
sporty,bugatti,has_value,0.012
stable,bugatti,has_value,0.007
friendly,bugatti,has_value,0.006
sporty,buick,has_value,0.466
modern,buick,has_value,0.181
elegant,buick,has_value,0.119
powerful,buick,has_value,0.089
dynamic,buick,has_value,0.070
aggressive,buick,has_value,0.059
stable,buick,has_value,0.009
friendly,buick,has_value,0.007
powerful,cadillac,has_value,0.308
sporty,cadillac,has_value,0.192
dynamic,cadillac,has_value,0.156
elegant,cadillac,has_value,0.125
aggressive,cadillac,has_value,0.121
modern,cadillac,has_value,0.091
friendly,cadillac,has_value,0.004
stable,cadillac,has_value,0.003
sporty,caterham,has_value,0.425
friendly,caterham,has_value,0.274
powerful,caterham,has_value,0.129
elegant,caterham,has_value,0.103
dynamic,caterham,has_value,0.034
stable,caterham,has_value,0.022
