id,label,group
acura,ACURA,make
alfa-romeo,ALFA ROMEO,make
alpine,ALPINE,make
ariel,ARIEL,make
aston-martin,ASTON MARTIN,make
audi,AUDI,make
bentley,BENTLEY,make
bmw,BMW,make
bufori,BUFORI,make
bugatti,BUGATTI,make
buick,BUICK,make
cadillac,CADILLAC,make
caterham,CATERHAM,make
chevrolet,CHEVROLET,make
chrysler,CHRYSLER,make
citroen,CITROEN,make
dacia,DACIA,make
daihatsu,DAIHATSU,make
datsun,DATSUN,make
dodge,DODGE,make
ferrari,FERRARI,make
fiat,FIAT,make
fisker,FISKER,make
ford,FORD,make
holden,HOLDEN,make
honda,HONDA,make
hyundai,HYUNDAI,make
ineos,INEOS,make
infiniti,INFINITI,make
jaguar,JAGUAR,make
jeep,JEEP,make
kia,KIA,make
koenigsegg,KOENIGSEGG,make
ktm,KTM,make
lada,LADA,make
lamborghini,LAMBORGHINI,make
lancia,LANCIA,make
land-rover,LAND ROVER,make
lexus,LEXUS,make
lightyear,LIGHTYEAR,make
lincoln,LINCOLN,make
lotus,LOTUS,make
maserati,MASERATI,make
mazda,MAZDA,make
mclaren,MCLAREN,make
mercedes-amg,MERCEDES-AMG,make
mercedes-benz,MERCEDES BENZ,make
mg,MG,make
mini,MINI,make
mitsubishi,MITSUBISHI,make
morgan,MORGAN,make
nio,NIO,make
nissan,NISSAN,make
opel,OPEL,make
pagani,PAGANI,make
panoz,PANOZ,make
perodua,PERODUA,make
peugeot,PEUGEOT,make
porsche,PORSCHE,make
renault,RENAULT,make
rimac,RIMAC,make
rolls-royce,ROLLS-ROYCE,make
seat,SEAT,make
skoda,SKODA,make
smart,SMART,make
spyker,SPYKER,make
subaru,SUBARU,make
suzuki,SUZUKI,make
toyota,TOYOTA,make
tvr,TVR,make
vauxhall,VAUXHALL,make
volkswagen,VOLKSWAGEN,make
volvo,VOLVO,make
wiesmann,WIESMANN,make
xpeng,XPENG,make
zenvo,ZENVO,make
